application,topology,latency,latency_ms
ONOS fwd,Cisco,205.5503284,0.2055503284
ONOS ifwd,Cisco,207.787161,0.207787161
SDNetViews,Cisco,210.5737606,0.2105737606
ONOS fwd,RATAPT,202.6754873,0.2026754873
ONOS ifwd,RATAPT,205.2939301,0.2052939301
SDNetViews,RATAPT,205.0494703,0.2050494703
ONOS fwd,Reference,216.1604036,0.2161604036
ONOS ifwd,Reference,218.9763196,0.2189763196
SDNetViews,Reference,223.1369814,0.2231369814
