application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,116,62.3,27.5,12.8,6.87,49.4,48.5,29.8,97.6,45,64.5,36.1,279,180,341,156,11.1,6.38,182,5.58,76.2,5.65,49.8,23,190,72.7,161,73.8,178,75.7,82.6,121,2866.88
ONOS fwd,73.4,20.4,70.2,24.7,40,66.1,71.8,62.2,75.1,27.1,76.3,25.4,378,94.2,232,251,41.9,6.1,57.6,12.4,76.1,6.07,70.6,50.7,178,77,277,76.8,91.8,77.2,99.8,76.9,2863.87
ONOS fwd,99.1,39.3,73.5,36.9,57.7,27.8,62.5,38.9,77.4,24.5,74.1,43.7,364,164,289,139,8.01,6.48,74,6.49,68.8,37.6,68.7,28.7,177,90.5,214,90.1,104,90.2,99.1,89.9,2864.98
ONOS fwd,75.3,42.4,82.3,32.4,6.74,8.52,79.4,33.2,76,67.6,79.1,28.2,378,127,341,108,86.8,11.3,81.5,6.7,67.5,6.47,70.4,12.6,159,139,101,86.3,105,159,120,85.3,2863.03
ONOS fwd,77.8,73.7,61.7,23.9,10.5,36.1,53.9,50.3,72.1,39.5,69.7,63.9,270,117,451,118,47.5,7.08,77.1,6.71,75.5,6.68,72.4,29.9,256,86.4,83.6,86.4,148,88.1,86.6,121,2868.07
ONOS fwd,78.6,72.7,70.8,37.9,34.3,30.3,53.1,9.76,78.4,66,65.1,68.6,395,107,333,118,12.4,7.67,53.5,6.35,78.6,7.31,69.2,52.9,105,80.3,84.2,132,170,78.3,225,79.1,2860.39
ONOS fwd,75.1,62.9,75.9,39.2,76.9,12.5,14.2,51.5,70.8,11,75.8,70.4,415,106,247,187,7.42,6.37,116,14.6,75.5,6.37,76,15.7,137,87.1,138,86.4,97.9,86.5,212,110,2864.06
ONOS fwd,74.6,53.9,63.4,54.3,7.57,25.9,54.3,29.4,72.6,21.3,73.4,21.6,403,102,286,165,6.62,6.9,52.6,6.29,63.1,6.29,148,114,196,83.8,144,96.5,132,84.4,135,84,2867.77
ONOS fwd,82.6,66.2,40.3,71.5,80.6,37.9,67.1,24.5,73.6,10.4,34.8,51.5,382,107,362,107,19.2,8.96,71.3,6.64,80.9,6.69,87.6,34.4,116,99.1,191,125,121,99.6,104,99.9,2870.29
ONOS fwd,53.6,72.7,77.2,74.5,9.99,42.4,75.4,54.4,59.5,57,63.1,35.4,476,126,232,121,6.65,6.65,75.1,11.2,68.2,6.64,67.7,37.1,200,77,276,77.9,80.8,77.3,88.6,76.8,2863.83
ONOS fwd,19.6,41.2,77.1,44.1,10.2,55.5,31.1,27.2,70,37.1,65.2,18.3,353,235,232,134,6.34,13.6,60.4,5.83,280,5.95,59,26.9,81.5,73.2,102,72.4,135,89.3,327,74,2863.02
ONOS fwd,80.4,72.3,63.1,25.6,7.27,6.57,74.2,67.1,74.9,54,144,39.3,460,169,218,109,7.44,14.2,67,6.95,57.7,6.42,67.8,19.3,173,77.2,231,77,95.7,136,91.1,75.8,2868.35
ONOS fwd,65.9,36.6,71.8,26.8,50.4,15.7,37.7,9.77,28,157,143,52.5,405,99.4,301,149,6.46,6.24,70.5,6.21,65.3,6.2,65.3,34.6,239,78.2,174,82.7,95,84.8,93.1,108,2865.18
ONOS fwd,78.1,23.6,53.4,28.6,51.9,35.5,48.7,74.3,45,50.5,54.9,34.5,214,190,431,121,72.5,48.8,68.9,6.79,77.4,6.69,70.2,25.1,201,98.9,89.7,23.2,218,93.1,138,93.3,2866.58
ONOS fwd,62.3,63.5,71.6,58.1,14,66.5,74.8,24.5,68.8,23.2,74.5,26.2,366,227,268,93.8,6.47,20.6,65.8,6.11,64.1,6.07,150,7.99,142,83,144,82.4,231,82.4,107,82.2,2863.94
ONOS fwd,69.9,54.2,69.8,33.5,58.8,63,64.6,8.77,57.5,51.8,46.6,12.6,300,151,271,234,51.5,5.77,67.2,10.1,69,5.76,146,9.76,190,78.3,161,78.9,160,78.9,129,78.6,2866.86
ONOS fwd,67.9,9.22,68.6,52.1,47.2,46.2,62.1,11.7,51,47.9,53.4,40,349,98.7,340,168,63.7,6.45,122,50.6,68.5,5.96,68.1,14.2,125,84.4,89.1,86.5,183,145,153,89.1,2867.63
