application,topology,latency,latency_ms
ONOS fwd,Cisco,15684.74813,15.68474813
ONOS ifwd,Cisco,7150.483125,7.150483125
SDNetViews,Cisco,9741.480625,9.741480625
ONOS fwd,RATAPT,13981.60813,13.98160813
ONOS ifwd,RATAPT,7031.48625,7.03148625
SDNetViews,RATAPT,9751.11,9.75111
ONOS fwd,Reference,19571.80476,19.57180476
ONOS ifwd,Reference,7578.904762,7.578904762
SDNetViews,Reference,10269.76381,10.26976381
