iperf 3.7
Linux netviews 5.4.0-53-generic #59-Ubuntu SMP Wed Oct 21 09:38:44 UTC 2020 x86_64
Control connection MSS 1448
Time: Wed, 18 Nov 2020 04:22:15 GMT
Connecting to host 10.0.0.11, port 84
      Cookie: xqfj76wlewrxv6pehgrf4rh44joejurin4mc
      TCP MSS: 1448 (default)
[ 53]   0.00-1.00   sec   686 KBytes  5.62 Mbits/sec    0   25.5 KBytes       
[ 55]   0.00-1.00   sec   669 KBytes  5.48 Mbits/sec    0   25.5 KBytes       
[ 57]   0.00-1.00   sec  1.03 MBytes  8.67 Mbits/sec    0   53.7 KBytes       
[ 59]   0.00-1.00   sec  1.18 MBytes  9.94 Mbits/sec    0   63.6 KBytes       
[ 61]   0.00-1.00   sec  3.59 MBytes  30.1 Mbits/sec    0    189 KBytes       
[ 63]   0.00-1.00   sec  3.18 MBytes  26.6 Mbits/sec    0    151 KBytes       
[ 65]   0.00-1.00   sec   735 KBytes  6.02 Mbits/sec    0   32.5 KBytes       
[ 67]   0.00-1.00   sec   916 KBytes  7.50 Mbits/sec    0   46.7 KBytes       
[ 69]   0.00-1.00   sec  1.44 MBytes  12.1 Mbits/sec    0   73.5 KBytes       
[ 71]   0.00-1.00   sec   628 KBytes  5.14 Mbits/sec    0   22.6 KBytes       
[ 73]   0.00-1.00   sec   919 KBytes  7.53 Mbits/sec    0   48.1 KBytes       
[ 75]   0.00-1.00   sec   796 KBytes  6.52 Mbits/sec    0   36.8 KBytes       
[ 77]   0.00-1.00   sec   650 KBytes  5.33 Mbits/sec    0   24.0 KBytes       
[ 79]   0.00-1.00   sec   850 KBytes  6.96 Mbits/sec    0   46.7 KBytes       
[ 81]   0.00-1.00   sec   583 KBytes  4.77 Mbits/sec    0   19.8 KBytes       
[ 83]   0.00-1.00   sec   793 KBytes  6.50 Mbits/sec    0   36.8 KBytes       
[ 85]   0.00-1.00   sec   814 KBytes  6.67 Mbits/sec    0   39.6 KBytes       
[ 87]   0.00-1.00   sec  1.08 MBytes  9.04 Mbits/sec    0   56.6 KBytes       
[ 89]   0.00-1.00   sec   707 KBytes  5.79 Mbits/sec    0   31.1 KBytes       
[ 91]   0.00-1.00   sec  1.11 MBytes  9.28 Mbits/sec    0   58.0 KBytes       
[ 93]   0.00-1.00   sec   583 KBytes  4.77 Mbits/sec    0   19.8 KBytes       
[ 95]   0.00-1.00   sec   602 KBytes  4.93 Mbits/sec    0   25.5 KBytes       
[ 97]   0.00-1.00   sec   604 KBytes  4.94 Mbits/sec    0   22.6 KBytes       
[ 99]   0.00-1.00   sec   604 KBytes  4.94 Mbits/sec    0   22.6 KBytes       
[101]   0.00-1.00   sec   581 KBytes  4.76 Mbits/sec    0   26.9 KBytes       
[103]   0.00-1.00   sec   574 KBytes  4.70 Mbits/sec    0   22.6 KBytes       
[SUM]   0.00-1.00   sec  64.9 MBytes   545 Mbits/sec    5             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   1.00-2.00   sec   382 KBytes  3.13 Mbits/sec    0   24.0 KBytes       
[  7]   1.00-2.00   sec   445 KBytes  3.65 Mbits/sec    0   25.5 KBytes       
[  9]   1.00-2.00   sec   445 KBytes  3.65 Mbits/sec    0   24.0 KBytes       
[ 11]   1.00-2.00   sec  4.23 MBytes  35.4 Mbits/sec    0    396 KBytes       
[ 13]   1.00-2.00   sec   445 KBytes  3.65 Mbits/sec    0   24.0 KBytes       
[ 15]   1.00-2.00   sec   445 KBytes  3.65 Mbits/sec    0   24.0 KBytes       
[ 17]   1.00-2.00   sec  4.60 MBytes  38.6 Mbits/sec    0    441 KBytes       
