iperf 3.7
Linux netviews 5.4.0-53-generic #59-Ubuntu SMP Wed Oct 21 09:38:44 UTC 2020 x86_64
Control connection MSS 1448
Time: Wed, 18 Nov 2020 04:22:15 GMT
Connecting to host 10.0.0.10, port 81
      Cookie: kowbz6ltguxcjwsx6tubx4cjjnezf6jvspko
      TCP MSS: 1448 (default)
[ 53]   0.00-1.00   sec   329 KBytes  2.70 Mbits/sec   12   2.83 KBytes       
[ 55]   0.00-1.00   sec   478 KBytes  3.91 Mbits/sec   15   15.6 KBytes       
[ 57]   0.00-1.00   sec   331 KBytes  2.71 Mbits/sec   22   2.83 KBytes       
[ 59]   0.00-1.00   sec   305 KBytes  2.50 Mbits/sec   19   12.7 KBytes       
[ 61]   0.00-1.00   sec   239 KBytes  1.96 Mbits/sec   27   2.83 KBytes       
[ 63]   0.00-1.00   sec   359 KBytes  2.94 Mbits/sec   16   2.83 KBytes       
[ 65]   0.00-1.00   sec   378 KBytes  3.09 Mbits/sec   12   7.07 KBytes       
[ 67]   0.00-1.00   sec   325 KBytes  2.66 Mbits/sec   19   2.83 KBytes       
[ 69]   0.00-1.00   sec   327 KBytes  2.67 Mbits/sec   23   5.66 KBytes       
[ 71]   0.00-1.00   sec   286 KBytes  2.34 Mbits/sec   20   5.66 KBytes       
[ 73]   0.00-1.00   sec   352 KBytes  2.88 Mbits/sec   16   4.24 KBytes       
[ 75]   0.00-1.00   sec   325 KBytes  2.66 Mbits/sec    6   5.66 KBytes       
[ 77]   0.00-1.00   sec   313 KBytes  2.56 Mbits/sec   17   4.24 KBytes       
[ 79]   0.00-1.00   sec   242 KBytes  1.98 Mbits/sec   13   2.83 KBytes       
[ 81]   0.00-1.00   sec   349 KBytes  2.86 Mbits/sec   12   4.24 KBytes       
[ 83]   0.00-1.00   sec   322 KBytes  2.64 Mbits/sec   11   11.3 KBytes       
[ 85]   0.00-1.00   sec   369 KBytes  3.02 Mbits/sec   13   5.66 KBytes       
[ 87]   0.00-1.00   sec   325 KBytes  2.66 Mbits/sec   13   7.07 KBytes       
[ 89]   0.00-1.00   sec   327 KBytes  2.67 Mbits/sec   17   5.66 KBytes       
[ 91]   0.00-1.00   sec   328 KBytes  2.69 Mbits/sec   17   2.83 KBytes       
