-----------------------------------------------------------
Server listening on 81
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 38858
[ 10]   1.00-2.00   sec   820 KBytes  6.72 Mbits/sec                  
[ 12]   1.00-2.00   sec  2.87 MBytes  24.1 Mbits/sec                  
[ 14]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 16]   1.00-2.00   sec   971 KBytes  7.96 Mbits/sec                  
[ 18]   1.00-2.00   sec  1.21 MBytes  10.1 Mbits/sec                  
[ 20]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 22]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 24]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 26]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 28]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 30]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 32]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 34]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 36]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 38]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 40]   1.00-2.00   sec   967 KBytes  7.92 Mbits/sec                  
[ 42]   1.00-2.00   sec   669 KBytes  5.48 Mbits/sec                  
[ 44]   1.00-2.00   sec   976 KBytes  7.99 Mbits/sec                  
[ 46]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 48]   1.00-2.00   sec  4.47 MBytes  37.5 Mbits/sec                  
[ 50]   1.00-2.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 52]   1.00-2.00   sec   665 KBytes  5.44 Mbits/sec                  
[ 54]   1.00-2.00   sec  7.15 MBytes  60.0 Mbits/sec                  
[ 56]   1.00-2.00   sec  2.86 MBytes  24.0 Mbits/sec                  
[ 58]   1.00-2.00   sec  4.60 MBytes  38.6 Mbits/sec                  
[ 60]   1.00-2.00   sec  2.84 MBytes  23.9 Mbits/sec                  
[ 62]   1.00-2.00   sec  3.58 MBytes  30.0 Mbits/sec                  
[ 64]   1.00-2.00   sec  2.86 MBytes  24.0 Mbits/sec                  
[ 66]   1.00-2.00   sec  2.87 MBytes  24.1 Mbits/sec                  
[ 68]   1.00-2.00   sec  2.85 MBytes  23.9 Mbits/sec                  
[ 70]   1.00-2.00   sec  3.91 MBytes  32.8 Mbits/sec                  
[ 72]   1.00-2.00   sec  4.13 MBytes  34.7 Mbits/sec                  
[ 74]   1.00-2.00   sec  2.90 MBytes  24.3 Mbits/sec                  
[ 76]   1.00-2.00   sec  2.87 MBytes  24.1 Mbits/sec                  
[ 78]   1.00-2.00   sec  3.56 MBytes  29.9 Mbits/sec                  
[ 80]   1.00-2.00   sec  3.51 MBytes  29.4 Mbits/sec                  
[ 82]   1.00-2.00   sec  1.18 MBytes  9.93 Mbits/sec                  
[ 84]   1.00-2.00   sec  2.86 MBytes  24.0 Mbits/sec                  
[ 86]   1.00-2.00   sec  7.21 MBytes  60.5 Mbits/sec                  
[ 88]   1.00-2.00   sec  2.38 MBytes  20.0 Mbits/sec                  
[ 90]   1.00-2.00   sec  2.38 MBytes  20.0 Mbits/sec                  
[ 92]   1.00-2.00   sec   976 KBytes  7.99 Mbits/sec                  
[ 94]   1.00-2.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 96]   1.00-2.00   sec  7.15 MBytes  60.0 Mbits/sec                  
[ 98]   1.00-2.00   sec  2.81 MBytes  23.6 Mbits/sec                  
[100]   1.00-2.00   sec  4.66 MBytes  39.1 Mbits/sec                  
[102]   1.00-2.00   sec  3.57 MBytes  30.0 Mbits/sec                  
[104]   1.00-2.00   sec   826 KBytes  6.76 Mbits/sec                  
[SUM]   1.00-2.00   sec   112 MBytes   939 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   2.00-3.00   sec  1.60 MBytes  13.4 Mbits/sec                  
[  8]   2.00-3.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 10]   2.00-3.00   sec   703 KBytes  5.76 Mbits/sec                  
[ 12]   2.00-3.00   sec  2.91 MBytes  24.4 Mbits/sec                  
[ 14]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 16]   2.00-3.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 18]   2.00-3.00   sec  1.20 MBytes  10.1 Mbits/sec                  
[ 20]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 22]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 24]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 26]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 28]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 30]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 32]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 34]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 36]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 38]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 40]   2.00-3.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 42]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 44]   2.00-3.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 46]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 48]   2.00-3.00   sec  4.62 MBytes  38.8 Mbits/sec                  
[ 50]   2.00-3.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 52]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 54]   2.00-3.00   sec  7.27 MBytes  61.0 Mbits/sec                  
[ 56]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 58]   2.00-3.00   sec  4.64 MBytes  38.9 Mbits/sec                  
[ 60]   2.00-3.00   sec  2.89 MBytes  24.2 Mbits/sec                  
[ 62]   2.00-3.00   sec  3.62 MBytes  30.4 Mbits/sec                  
[ 64]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 66]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 68]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 70]   2.00-3.00   sec  4.19 MBytes  35.1 Mbits/sec                  
[ 72]   2.00-3.00   sec  4.77 MBytes  40.0 Mbits/sec                  
[ 74]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 76]   2.00-3.00   sec  2.90 MBytes  24.3 Mbits/sec                  
[ 78]   2.00-3.00   sec  3.60 MBytes  30.2 Mbits/sec                  
[ 80]   2.00-3.00   sec  3.60 MBytes  30.2 Mbits/sec                  
[ 82]   2.00-3.00   sec  1.20 MBytes  10.1 Mbits/sec                  
[ 84]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 86]   2.00-3.00   sec  7.21 MBytes  60.5 Mbits/sec                  
[ 88]   2.00-3.00   sec  2.40 MBytes  20.2 Mbits/sec                  
[ 90]   2.00-3.00   sec  2.40 MBytes  20.2 Mbits/sec                  
[ 92]   2.00-3.00   sec   993 KBytes  8.13 Mbits/sec                  
[ 94]   2.00-3.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 96]   2.00-3.00   sec  7.21 MBytes  60.5 Mbits/sec                  
[ 98]   2.00-3.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[100]   2.00-3.00   sec  4.80 MBytes  40.3 Mbits/sec                  
[102]   2.00-3.00   sec  3.60 MBytes  30.2 Mbits/sec                  
[104]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec                  
[SUM]   2.00-3.00   sec   114 MBytes   954 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   3.00-4.00   sec  1.62 MBytes  13.6 Mbits/sec                  
[  8]   3.00-4.00   sec   997 KBytes  8.17 Mbits/sec                  
[ 10]   3.00-4.00   sec   724 KBytes  5.93 Mbits/sec                  
[ 12]   3.00-4.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 14]   3.00-4.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 16]   3.00-4.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 18]   3.00-4.00   sec  1.20 MBytes  10.1 Mbits/sec                  
[ 20]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 22]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 24]   3.00-4.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 26]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 28]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 30]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 32]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 34]   3.00-4.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 36]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 38]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 40]   3.00-4.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 42]   3.00-4.00   sec   672 KBytes  5.50 Mbits/sec                  
[ 44]   3.00-4.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 46]   3.00-4.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 48]   3.00-4.00   sec  4.74 MBytes  39.8 Mbits/sec                  
[ 50]   3.00-4.00   sec   997 KBytes  8.17 Mbits/sec                  
[ 52]   3.00-4.00   sec   670 KBytes  5.49 Mbits/sec                  
[ 54]   3.00-4.00   sec  7.21 MBytes  60.5 Mbits/sec                  
[ 56]   3.00-4.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 58]   3.00-4.00   sec  4.74 MBytes  39.8 Mbits/sec                  
[ 60]   3.00-4.00   sec  2.89 MBytes  24.3 Mbits/sec                  
[ 62]   3.00-4.00   sec  3.62 MBytes  30.4 Mbits/sec                  
[ 64]   3.00-4.00   sec  2.91 MBytes  24.4 Mbits/sec                  
[ 66]   3.00-4.00   sec  2.88 MBytes  24.2 Mbits/sec                  
[ 68]   3.00-4.00   sec  2.91 MBytes  24.4 Mbits/sec                  
[ 70]   3.00-4.00   sec  3.76 MBytes  31.6 Mbits/sec                  
[ 72]   3.00-4.00   sec  4.80 MBytes  40.3 Mbits/sec                  
[ 74]   3.00-4.00   sec  2.92 MBytes  24.5 Mbits/sec                  
[ 76]   3.00-4.00   sec  2.90 MBytes  24.3 Mbits/sec                  
[ 78]   3.00-4.00   sec  3.60 MBytes  30.2 Mbits/sec                  
[ 80]   3.00-4.00   sec  3.64 MBytes  30.5 Mbits/sec                  
[ 82]   3.00-4.00   sec  1.21 MBytes  10.2 Mbits/sec                  
[ 84]   3.00-4.00   sec  2.91 MBytes  24.4 Mbits/sec                  
[ 86]   3.00-4.00   sec  7.21 MBytes  60.5 Mbits/sec                  
[ 88]   3.00-4.00   sec  2.40 MBytes  20.1 Mbits/sec                  
[ 90]   3.00-4.00   sec  2.40 MBytes  20.1 Mbits/sec                  
[ 92]   3.00-4.00   sec   984 KBytes  8.06 Mbits/sec                  
[ 94]   3.00-4.00   sec   677 KBytes  5.55 Mbits/sec                  
[ 96]   3.00-4.00   sec  7.24 MBytes  60.7 Mbits/sec                  
