fwd_sender,233.0,244.0,463.0
fwd_receiver,233.0,243.0,462.0
fwd_sender,444.0,274.0,223.0
fwd_receiver,443.0,274.0,222.0
fwd_sender,371.0,268.0,300.0
fwd_receiver,371.0,267.0,299.0
fwd_sender,406.0,224.0,309.0
fwd_receiver,406.0,224.0,309.0
fwd_sender,323.0,251.0,366.0
fwd_receiver,323.0,250.0,365.0
fwd_sender,440.0,133.0,367.0
fwd_receiver,439.0,133.0,366.0
fwd_sender,345.0,251.0,337.0
fwd_receiver,345.0,251.0,336.0
fwd_sender,271.0,315.0,353.0
fwd_receiver,271.0,315.0,352.0
fwd_sender,370.0,266.0,303.0
fwd_receiver,370.0,265.0,302.0
fwd_sender,286.0,366.0,289.0
fwd_receiver,285.0,365.0,288.0
