Users, Objects, TotalNode, Height, AverageDelay
600, 400, 4001, 1, 44124.0
1800, 1200, 12001, 1, 44277.0
3000, 2000, 20001, 1, 40275.0
4200, 2800, 28001, 1, 49126.0
5400, 3600, 36001, 1, 31930.0
6600, 4400, 44001, 1, 41504.0
7800, 5200, 52001, 1, 31833.0
9000, 6000, 60001, 1, 33305.0
10200, 6800, 68001, 1, 39711.0
11400, 7600, 76001, 1, 33826.0
12000, 8000, 80001, 1, 78888.0
600, 400, 8001, 2, 77187.0
1800, 1200, 24001, 2, 87229.0
3000, 2000, 40001, 2, 105534.0
4200, 2800, 56001, 2, 82978.0
5400, 3600, 72001, 2, 106866.0
6600, 4400, 88001, 2, 79555.0
7800, 5200, 104001, 2, 80568.0
9000, 6000, 120001, 2, 98647.0
10200, 6800, 136001, 2, 101742.0
11400, 7600, 152001, 2, 75637.0
12000, 8000, 160001, 2, 77284.0
600, 400, 16001, 3, 238637.0
1800, 1200, 48001, 3, 222067.0
3000, 2000, 80001, 3, 286085.0
4200, 2800, 112001, 3, 201979.0
5400, 3600, 144001, 3, 195101.0
6600, 4400, 176001, 3, 213953.0
7800, 5200, 208001, 3, 200927.0
9000, 6000, 240001, 3, 198280.0
10200, 6800, 272001, 3, 258610.0
11400, 7600, 304001, 3, 195695.0
12000, 8000, 320001, 3, 197670.0
600, 400, 32001, 4, 500556.0
1800, 1200, 96001, 4, 601236.0
3000, 2000, 160001, 4, 651590.0
4200, 2800, 224001, 4, 533085.0
5400, 3600, 288001, 4, 556089.0
6600, 4400, 352001, 4, 569322.0
7800, 5200, 416001, 4, 571717.0
9000, 6000, 480001, 4, 580482.0
10200, 6800, 544001, 4, 516497.0
11400, 7600, 608001, 4, 639178.0
12000, 8000, 640001, 4, 592176.0
600, 400, 64001, 5, 1269418.0
1800, 1200, 192001, 5, 1315295.0
3000, 2000, 320001, 5, 1270507.0
4200, 2800, 448001, 5, 1317619.0
5400, 3600, 576001, 5, 1284504.0
6600, 4400, 704001, 5, 1307965.0
7800, 5200, 832001, 5, 1318250.0
9000, 6000, 960001, 5, 1336568.0
10200, 6800, 1088001, 5, 1295897.0
11400, 7600, 1216001, 5, 1285050.0
12000, 8000, 1280001, 5, 1265930.0
