fwd_sender,307.0,309.0,324.0
fwd_receiver,306.0,308.0,324.0
fwd_sender,399.0,275.0,263.0
fwd_receiver,398.0,275.0,263.0
fwd_sender,332.0,275.0,331.0
fwd_receiver,331.0,275.0,330.0
fwd_sender,310.0,383.0,245.0
fwd_receiver,310.0,382.0,245.0
fwd_sender,282.0,305.0,351.0
fwd_receiver,282.0,305.0,351.0
fwd_sender,248.0,469.0,221.0
fwd_receiver,248.0,468.0,221.0
fwd_sender,306.0,374.0,256.0
fwd_receiver,306.0,373.0,256.0
fwd_sender,291.0,335.0,312.0
fwd_receiver,291.0,335.0,312.0
fwd_sender,410.0,251.0,279.0
fwd_receiver,409.0,250.0,279.0
fwd_sender,376.0,287.0,273.0
fwd_receiver,376.0,287.0,273.0
