nodes,height,delay
1000,1,106.519
2000,1,21.219
3000,1,19.883
4000,1,19.671
5000,1,16.359
6000,1,17.907
7000,1,27.675
1000,1,25.28
2000,1,19.835
3000,1,19.275
4000,1,37.049
5000,1,19.45
6000,1,26.958
7000,1,18.784
8000,1,19.339
9000,1,19.465
10000,1,17.514
1000,2,48.992
2000,2,51.064
3000,2,47.291
4000,2,50.75
5000,2,52.764
6000,2,336.528
7000,2,49.784
8000,2,47.002
9000,2,47.75
10000,2,42.984
1000,3,128.641
2000,3,129.022
3000,3,123.385
4000,3,210.916
5000,3,225.764
6000,3,119.141
7000,3,243.765
8000,3,291.377
9000,3,112.953
10000,3,114.776
1000,4,603.966
2000,4,358.658
3000,4,329.872
4000,4,880.496
5000,4,300.088
6000,4,374.332
7000,4,464.321
8000,4,1329.432
9000,4,451.076
10000,4,1563.162
1000,5,788.739
2000,5,905.606
3000,5,897.322
4000,5,996.899
5000,5,2012.791
6000,5,863.24
7000,5,892.7
8000,5,2622.886
9000,5,2195.005
10000,5,2480.42
11000,1,69.396
12000,1,75.37
13000,1,18.051
14000,1,15.732
15000,1,15.995
16000,1,17.305
17000,1,15.487
18000,1,90.915
19000,1,17.127
20000,1,15.267
11000,2,45.14
12000,2,45.725
13000,2,39.911
14000,2,42.592
15000,2,40.184
16000,2,44.25
17000,2,42.987
18000,2,691.936
19000,2,42.816
20000,2,43.268
11000,3,116.361
12000,3,946.852
13000,3,113.707
14000,3,111.852
15000,3,114.157
16000,3,112.26
17000,3,113.187
18000,3,113.047
19000,3,306.009
20000,3,112.261
11000,4,1726.537
12000,4,483.572
13000,4,287.497
14000,4,2069.696
15000,4,2184.162
16000,4,1242.39
17000,4,1453.94
18000,4,1614.834
19000,4,1941.78
20000,4,1933.614
11000,5,1332.624
12000,5,1333.507
13000,5,1272.621
14000,5,1294.716
15000,5,1353.34
16000,5,1204.093
17000,5,1330.35
18000,5,1527.483
19000,5,1327.407
20000,5,1260.145
