-----------------------------------------------------------
Server listening on 85
-----------------------------------------------------------
Accepted connection from 10.0.0.5, port 38702
[  5] local 10.0.0.10 port 85 connected to 10.0.0.5 port 38776
[  8] local 10.0.0.10 port 85 connected to 10.0.0.5 port 38824
[ 10] local 10.0.0.10 port 85 connected to 10.0.0.5 port 38874
[ 12] local 10.0.0.10 port 85 connected to 10.0.0.5 port 38922
[ 14] local 10.0.0.10 port 85 connected to 10.0.0.5 port 38972
[ 16] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39020
[ 18] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39072
[ 20] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39120
[ 22] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39168
[ 24] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39216
[ 26] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39264
[ 28] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39312
[ 30] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39360
[ 32] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39410
[ 34] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39458
[ 36] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39504
[ 38] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39554
[ 40] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39604
[ 42] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39650
[ 44] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39698
[ 46] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39746
[ 48] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39796
[ 50] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39848
[ 52] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39896
[ 54] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39946
[ 56] local 10.0.0.10 port 85 connected to 10.0.0.5 port 39978
[ 58] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40010
[ 60] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40042
[ 62] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40074
[ 64] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40106
[ 66] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40140
[ 68] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40172
[ 70] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40204
[ 72] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40236
[ 74] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40268
[ 76] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40300
[ 78] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40334
[ 80] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40366
[ 82] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40400
[ 84] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40432
[ 86] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40464
[ 88] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40498
[ 90] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40530
[ 92] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40566
[ 94] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40602
[ 96] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40634
[ 98] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40668
[100] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40702
[102] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40730
[104] local 10.0.0.10 port 85 connected to 10.0.0.5 port 40754
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec   314 KBytes  2.57 Mbits/sec                  
[  8]   0.00-1.00   sec   279 KBytes  2.28 Mbits/sec                  
[ 10]   0.00-1.00   sec   284 KBytes  2.33 Mbits/sec                  
[ 12]   0.00-1.00   sec   257 KBytes  2.11 Mbits/sec                  
[ 14]   0.00-1.00   sec   260 KBytes  2.13 Mbits/sec                  
[ 16]   0.00-1.00   sec   247 KBytes  2.03 Mbits/sec                  
[ 18]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec                  
[ 20]   0.00-1.00   sec   250 KBytes  2.05 Mbits/sec                  
[ 22]   0.00-1.00   sec   246 KBytes  2.02 Mbits/sec                  
[ 24]   0.00-1.00   sec   249 KBytes  2.04 Mbits/sec                  
[ 26]   0.00-1.00   sec   239 KBytes  1.96 Mbits/sec                  
[ 28]   0.00-1.00   sec   246 KBytes  2.02 Mbits/sec                  
[ 30]   0.00-1.00   sec   242 KBytes  1.98 Mbits/sec                  
[ 32]   0.00-1.00   sec   239 KBytes  1.96 Mbits/sec                  
[ 34]   0.00-1.00   sec   243 KBytes  1.99 Mbits/sec                  
[ 36]   0.00-1.00   sec   242 KBytes  1.98 Mbits/sec                  
[ 38]   0.00-1.00   sec   242 KBytes  1.98 Mbits/sec                  
[ 40]   0.00-1.00   sec   243 KBytes  1.99 Mbits/sec                  
[ 42]   0.00-1.00   sec   249 KBytes  2.04 Mbits/sec                  
[ 44]   0.00-1.00   sec   243 KBytes  1.99 Mbits/sec                  
[ 46]   0.00-1.00   sec   236 KBytes  1.93 Mbits/sec                  
[ 48]   0.00-1.00   sec   243 KBytes  1.99 Mbits/sec                  
[ 50]   0.00-1.00   sec   247 KBytes  2.03 Mbits/sec                  
[ 52]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec                  
[ 54]   0.00-1.00   sec   242 KBytes  1.98 Mbits/sec                  
[ 56]   0.00-1.00   sec   240 KBytes  1.97 Mbits/sec                  
[ 58]   0.00-1.00   sec   238 KBytes  1.95 Mbits/sec                  
[ 60]   0.00-1.00   sec   257 KBytes  2.11 Mbits/sec                  
[ 62]   0.00-1.00   sec   257 KBytes  2.11 Mbits/sec                  
[ 64]   0.00-1.00   sec   256 KBytes  2.10 Mbits/sec                  
[ 66]   0.00-1.00   sec   257 KBytes  2.11 Mbits/sec                  
[ 68]   0.00-1.00   sec   252 KBytes  2.06 Mbits/sec                  
[ 70]   0.00-1.00   sec   246 KBytes  2.02 Mbits/sec                  
[ 72]   0.00-1.00   sec   242 KBytes  1.98 Mbits/sec                  
[ 74]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec                  
[ 76]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec                  
[ 78]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec                  
[ 80]   0.00-1.00   sec   246 KBytes  2.02 Mbits/sec                  
[ 82]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec                  
[ 84]   0.00-1.00   sec   246 KBytes  2.02 Mbits/sec                  
[ 86]   0.00-1.00   sec   238 KBytes  1.95 Mbits/sec                  
[ 88]   0.00-1.00   sec   240 KBytes  1.97 Mbits/sec                  
[ 90]   0.00-1.00   sec   240 KBytes  1.97 Mbits/sec                  
[ 92]   0.00-1.00   sec   240 KBytes  1.97 Mbits/sec                  
[ 94]   0.00-1.00   sec   239 KBytes  1.96 Mbits/sec                  
[ 96]   0.00-1.00   sec   238 KBytes  1.95 Mbits/sec                  
[ 98]   0.00-1.00   sec   236 KBytes  1.93 Mbits/sec                  
[100]   0.00-1.00   sec   238 KBytes  1.95 Mbits/sec                  
[102]   0.00-1.00   sec   238 KBytes  1.95 Mbits/sec                  
[104]   0.00-1.00   sec   228 KBytes  1.86 Mbits/sec                  
[SUM]   0.00-1.00   sec  12.1 MBytes   101 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   1.00-2.00   sec   189 KBytes  1.55 Mbits/sec                  
[  8]   1.00-2.00   sec   185 KBytes  1.52 Mbits/sec                  
[ 10]   1.00-2.00   sec   185 KBytes  1.52 Mbits/sec                  
