-----------------------------------------------------------
Server listening on 84
-----------------------------------------------------------
Accepted connection from 10.0.0.4, port 41870
[  5] local 10.0.0.10 port 84 connected to 10.0.0.4 port 41894
[  8] local 10.0.0.10 port 84 connected to 10.0.0.4 port 41944
[ 10] local 10.0.0.10 port 84 connected to 10.0.0.4 port 41970
[ 12] local 10.0.0.10 port 84 connected to 10.0.0.4 port 41996
[ 14] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42018
[ 16] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42044
[ 18] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42066
[ 20] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42090
[ 22] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42118
[ 24] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42140
[ 26] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42164
[ 28] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42188
[ 30] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42210
[ 32] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42232
[ 34] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42254
[ 36] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42280
[ 38] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42302
[ 40] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42326
[ 42] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42352
[ 44] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42376
[ 46] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42400
[ 48] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42424
[ 50] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42448
[ 52] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42472
[ 54] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42496
[ 56] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42520
[ 58] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42542
[ 60] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42568
[ 62] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42588
[ 64] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42614
[ 66] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42636
[ 68] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42662
[ 70] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42684
[ 72] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42708
[ 74] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42734
[ 76] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42758
[ 78] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42786
[ 80] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42810
[ 82] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42832
[ 84] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42858
[ 86] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42882
[ 88] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42906
[ 90] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42928
[ 92] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42952
[ 94] local 10.0.0.10 port 84 connected to 10.0.0.4 port 42978
[ 96] local 10.0.0.10 port 84 connected to 10.0.0.4 port 43000
[ 98] local 10.0.0.10 port 84 connected to 10.0.0.4 port 43024
[100] local 10.0.0.10 port 84 connected to 10.0.0.4 port 43048
[102] local 10.0.0.10 port 84 connected to 10.0.0.4 port 43072
[104] local 10.0.0.10 port 84 connected to 10.0.0.4 port 43094
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec   543 KBytes  4.44 Mbits/sec                  
[  8]   0.00-1.00   sec   568 KBytes  4.65 Mbits/sec                  
[ 10]   0.00-1.00   sec   516 KBytes  4.22 Mbits/sec                  
[ 12]   0.00-1.00   sec   574 KBytes  4.69 Mbits/sec                  
[ 14]   0.00-1.00   sec   479 KBytes  3.92 Mbits/sec                  
[ 16]   0.00-1.00   sec   477 KBytes  3.89 Mbits/sec                  
[ 18]   0.00-1.00   sec  4.71 MBytes  39.4 Mbits/sec                  
[ 20]   0.00-1.00   sec  2.20 MBytes  18.4 Mbits/sec                  
[ 22]   0.00-1.00   sec   520 KBytes  4.25 Mbits/sec                  
[ 24]   0.00-1.00   sec   508 KBytes  4.15 Mbits/sec                  
[ 26]   0.00-1.00   sec   576 KBytes  4.70 Mbits/sec                  
[ 28]   0.00-1.00   sec   479 KBytes  3.92 Mbits/sec                  
[ 30]   0.00-1.00   sec   540 KBytes  4.41 Mbits/sec                  
[ 32]   0.00-1.00   sec   549 KBytes  4.48 Mbits/sec                  
[ 34]   0.00-1.00   sec  4.48 MBytes  37.5 Mbits/sec                  
[ 36]   0.00-1.00   sec  1.20 MBytes  10.0 Mbits/sec                  
[ 38]   0.00-1.00   sec  2.34 MBytes  19.6 Mbits/sec                  
[ 40]   0.00-1.00   sec   462 KBytes  3.78 Mbits/sec                  
[ 42]   0.00-1.00   sec   486 KBytes  3.97 Mbits/sec                  
[ 44]   0.00-1.00   sec   529 KBytes  4.32 Mbits/sec                  
[ 46]   0.00-1.00   sec   505 KBytes  4.13 Mbits/sec                  
[ 48]   0.00-1.00   sec   568 KBytes  4.65 Mbits/sec                  
[ 50]   0.00-1.00   sec   510 KBytes  4.17 Mbits/sec                  
[ 52]   0.00-1.00   sec  1.55 MBytes  13.0 Mbits/sec                  
[ 54]   0.00-1.00   sec  2.50 MBytes  20.9 Mbits/sec                  
[ 56]   0.00-1.00   sec   759 KBytes  6.21 Mbits/sec                  
[ 58]   0.00-1.00   sec   608 KBytes  4.97 Mbits/sec                  
[ 60]   0.00-1.00   sec   604 KBytes  4.93 Mbits/sec                  
[ 62]   0.00-1.00   sec  2.18 MBytes  18.3 Mbits/sec                  
[ 64]   0.00-1.00   sec   492 KBytes  4.02 Mbits/sec                  
[ 66]   0.00-1.00   sec   484 KBytes  3.95 Mbits/sec                  
[ 68]   0.00-1.00   sec   498 KBytes  4.07 Mbits/sec                  
[ 70]   0.00-1.00   sec   489 KBytes  4.00 Mbits/sec                  
[ 72]   0.00-1.00   sec   608 KBytes  4.97 Mbits/sec                  
[ 74]   0.00-1.00   sec  4.17 MBytes  34.9 Mbits/sec                  
[ 76]   0.00-1.00   sec   725 KBytes  5.93 Mbits/sec                  
[ 78]   0.00-1.00   sec  1.48 MBytes  12.4 Mbits/sec                  
[ 80]   0.00-1.00   sec  1.81 MBytes  15.1 Mbits/sec                  
[ 82]   0.00-1.00   sec   450 KBytes  3.67 Mbits/sec                  
[ 84]   0.00-1.00   sec   455 KBytes  3.72 Mbits/sec                  
[ 86]   0.00-1.00   sec   455 KBytes  3.72 Mbits/sec                  
[ 88]   0.00-1.00   sec   494 KBytes  4.03 Mbits/sec                  
[ 90]   0.00-1.00   sec  2.02 MBytes  16.9 Mbits/sec                  
[ 92]   0.00-1.00   sec   738 KBytes  6.03 Mbits/sec                  
[ 94]   0.00-1.00   sec   452 KBytes  3.70 Mbits/sec                  
[ 96]   0.00-1.00   sec   484 KBytes  3.95 Mbits/sec                  
[ 98]   0.00-1.00   sec   471 KBytes  3.85 Mbits/sec                  
[100]   0.00-1.00   sec   468 KBytes  3.82 Mbits/sec                  
[102]   0.00-1.00   sec   443 KBytes  3.62 Mbits/sec                  
[104]   0.00-1.00   sec  1.01 MBytes  8.43 Mbits/sec                  
[SUM]   0.00-1.00   sec  50.8 MBytes   425 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   1.00-2.00   sec   382 KBytes  3.13 Mbits/sec                  
[  8]   1.00-2.00   sec   387 KBytes  3.18 Mbits/sec                  
