-----------------------------------------------------------
Server listening on 83
-----------------------------------------------------------
Accepted connection from 10.0.0.3, port 55550
[  5] local 10.0.0.11 port 83 connected to 10.0.0.3 port 55604
[  8] local 10.0.0.11 port 83 connected to 10.0.0.3 port 55646
[ 10] local 10.0.0.11 port 83 connected to 10.0.0.3 port 55716
[ 12] local 10.0.0.11 port 83 connected to 10.0.0.3 port 55782
[ 14] local 10.0.0.11 port 83 connected to 10.0.0.3 port 55856
[ 16] local 10.0.0.11 port 83 connected to 10.0.0.3 port 55928
[ 18] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56000
[ 20] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56072
[ 22] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56144
[ 24] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56214
[ 26] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56288
[ 28] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56360
[ 30] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56434
[ 32] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56504
[ 34] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56576
[ 36] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56646
[ 38] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56716
[ 40] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56784
[ 42] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56838
[ 44] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56886
[ 46] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56934
[ 48] local 10.0.0.11 port 83 connected to 10.0.0.3 port 56982
[ 50] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57028
[ 52] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57076
[ 54] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57124
[ 56] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57168
[ 58] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57212
[ 60] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57260
[ 62] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57308
[ 64] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57354
[ 66] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57400
[ 68] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57444
[ 70] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57490
[ 72] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57536
[ 74] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57582
[ 76] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57622
[ 78] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57650
[ 80] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57674
[ 82] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57698
[ 84] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57722
[ 86] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57746
[ 88] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57770
[ 90] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57794
[ 92] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57818
[ 94] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57842
[ 96] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57866
[ 98] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57890
[100] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57914
[102] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57936
[104] local 10.0.0.11 port 83 connected to 10.0.0.3 port 57956
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec   146 KBytes  1.19 Mbits/sec                  
[  8]   0.00-1.00   sec   133 KBytes  1.09 Mbits/sec                  
[ 10]   0.00-1.00   sec   209 KBytes  1.71 Mbits/sec                  
[ 12]   0.00-1.00   sec  12.7 KBytes   104 Kbits/sec                  
[ 14]   0.00-1.00   sec   130 KBytes  1.07 Mbits/sec                  
[ 16]   0.00-1.00   sec   195 KBytes  1.60 Mbits/sec                  
[ 18]   0.00-1.00   sec   132 KBytes  1.08 Mbits/sec                  
[ 20]   0.00-1.00   sec   112 KBytes   915 Kbits/sec                  
[ 22]   0.00-1.00   sec   157 KBytes  1.29 Mbits/sec                  
[ 24]   0.00-1.00   sec   201 KBytes  1.64 Mbits/sec                  
[ 26]   0.00-1.00   sec  9.90 KBytes  81.1 Kbits/sec                  
[ 28]   0.00-1.00   sec   167 KBytes  1.37 Mbits/sec                  
[ 30]   0.00-1.00   sec   161 KBytes  1.32 Mbits/sec                  
[ 32]   0.00-1.00   sec  26.9 KBytes   220 Kbits/sec                  
[ 34]   0.00-1.00   sec   198 KBytes  1.62 Mbits/sec                  
[ 36]   0.00-1.00   sec   146 KBytes  1.19 Mbits/sec                  
[ 38]   0.00-1.00   sec   173 KBytes  1.41 Mbits/sec                  
[ 40]   0.00-1.00   sec   225 KBytes  1.84 Mbits/sec                  
[ 42]   0.00-1.00   sec   235 KBytes  1.92 Mbits/sec                  
[ 44]   0.00-1.00   sec   163 KBytes  1.33 Mbits/sec                  
[ 46]   0.00-1.00   sec   243 KBytes  1.99 Mbits/sec                  
[ 48]   0.00-1.00   sec  41.0 KBytes   336 Kbits/sec                  
[ 50]   0.00-1.00   sec   182 KBytes  1.49 Mbits/sec                  
[ 52]   0.00-1.00   sec  5.66 KBytes  46.3 Kbits/sec                  
[ 54]   0.00-1.00   sec   188 KBytes  1.54 Mbits/sec                  
[ 56]   0.00-1.00   sec   151 KBytes  1.24 Mbits/sec                  
[ 58]   0.00-1.00   sec  69.3 KBytes   568 Kbits/sec                  
[ 60]   0.00-1.00   sec  59.4 KBytes   486 Kbits/sec                  
[ 62]   0.00-1.00   sec  93.3 KBytes   764 Kbits/sec                  
[ 64]   0.00-1.00   sec   156 KBytes  1.27 Mbits/sec                  
[ 66]   0.00-1.00   sec   136 KBytes  1.11 Mbits/sec                  
[ 68]   0.00-1.00   sec  80.6 KBytes   660 Kbits/sec                  
[ 70]   0.00-1.00   sec  38.2 KBytes   313 Kbits/sec                  
[ 72]   0.00-1.00   sec   139 KBytes  1.14 Mbits/sec                  
[ 74]   0.00-1.00   sec   157 KBytes  1.29 Mbits/sec                  
[ 76]   0.00-1.00   sec   154 KBytes  1.26 Mbits/sec                  
[ 78]   0.00-1.00   sec   113 KBytes   927 Kbits/sec                  
[ 80]   0.00-1.00   sec   147 KBytes  1.20 Mbits/sec                  
[ 82]   0.00-1.00   sec   123 KBytes  1.01 Mbits/sec                  
[ 84]   0.00-1.00   sec  96.2 KBytes   788 Kbits/sec                  
[ 86]   0.00-1.00   sec  97.6 KBytes   799 Kbits/sec                  
[ 88]   0.00-1.00   sec   115 KBytes   938 Kbits/sec                  
[ 90]   0.00-1.00   sec   154 KBytes  1.26 Mbits/sec                  
[ 92]   0.00-1.00   sec   144 KBytes  1.18 Mbits/sec                  
[ 94]   0.00-1.00   sec   139 KBytes  1.13 Mbits/sec                  
[ 96]   0.00-1.00   sec   165 KBytes  1.36 Mbits/sec                  
[ 98]   0.00-1.00   sec  2.83 KBytes  23.2 Kbits/sec                  
[100]   0.00-1.00   sec  0.00 Bytes  0.00 bits/sec                  
[102]   0.00-1.00   sec  25.5 KBytes   208 Kbits/sec                  
[104]   0.00-1.00   sec  15.6 KBytes   127 Kbits/sec                  
[SUM]   0.00-1.00   sec  6.02 MBytes  50.5 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   1.00-2.00   sec   103 KBytes   846 Kbits/sec                  
[  8]   1.00-2.00   sec   106 KBytes   869 Kbits/sec                  
[ 10]   1.00-2.00   sec   127 KBytes  1.04 Mbits/sec                  
