fwd_sender,455.0,188.0,296.0
fwd_receiver,454.0,188.0,296.0
fwd_sender,345.0,301.0,292.0
fwd_receiver,345.0,300.0,292.0
fwd_sender,283.0,311.0,345.0
fwd_receiver,283.0,310.0,344.0
fwd_sender,409.0,280.0,251.0
fwd_receiver,408.0,279.0,251.0
fwd_sender,252.0,287.0,398.0
fwd_receiver,252.0,286.0,398.0
fwd_sender,365.0,352.0,222.0
fwd_receiver,364.0,351.0,221.0
fwd_sender,268.0,410.0,258.0
fwd_receiver,268.0,410.0,258.0
fwd_sender,290.0,346.0,303.0
fwd_receiver,290.0,346.0,303.0
fwd_sender,359.0,284.0,295.0
fwd_receiver,359.0,284.0,294.0
fwd_sender,313.0,308.0,317.0
fwd_receiver,313.0,308.0,317.0
